recommended,review,sentiment_label,sentiment_score,model_prediction_smart
False,"(actuais todos como si comprara todos los cods que salen. no soy tan mononeuronal, llevaba sin comprar uno desde el reboot de modern warfare.)

no vuelvo a pagar un call of duty

-campaña:
->online e historia absurda.
->literalmente es warzone pero con ""historia"".
->el concepto de online y bosses está bien, no para una campaña, pero si para un modo a parte.

-multijugador, está bien, hasta que ves que los emblemas están hechos con ia.
->por no decir, que me ha saltado 3 veces en un día el mismo bug de ver la pantalla de carga a mitad partida. es decir, la partida carga, pero solo ves la pantalla de carga.

-zombies: 
->que cojones hacen los originales aquí, todos sabemos como acabaron en bo4.
->no soy fan de zombies, tampoco puedo opinar.

conclusiones: 
no pagues 80€ por esto, y a ver si activision se entera que renta mas tardar en hacer un juego pero que esté bien hecho, a sacar esto.",NEG,0.983913779258728,False
False,"tremendo bodrio, call of duty black ops 6, ni se molestaron en cambiar el sonido del anterior juego, esta horrible, si lo tienes en el game pass hasta me doleria pagar 10 dolares para probar semejante bodrio, horrible, en todas las letras, no esta bueno no sean cojudos.",NEG,0.9991814494132996,False
False,"menudo mojón... lo he comprado hace 1h y ya me arrepiento, mapas enanos y un respawn mas aleatorio que una tombola... 1/5 estrellas.",NEG,0.9989025592803955,False
False,"los zombies mi pasión, las mujeres negras mi perdición",NEG,0.9965388774871826,False
False,"tiene sbmm cuando dijeron que lo habian quitado o reducido, la campaña y el modo zombie parece un dlc del black ops 6",NEG,0.9757391214370728,False
False,"lo volvi a jugar por que habian quitado partida igualada pero ahora lo han vuelto a poner y la han cagado.
me parece que ahora mismo el juego solo vale para hecharse unos zombis tranquilo y poco mas, por que si juegas multi solo va a servir para que te encuentren 15 enfermitos que no salen de su casa y no te dejen disfrutar del juego. 
nunca pense en llevarme este chasco de un juego que me esperaba que fuese a ser la ostia.",NEG,0.9986101388931274,False
False,"he de reconocer que lo han logrado, han logrado una decadencia todavía más acentuada, un fracaso de compañía y de videojuego, me lo compré porque realmente no había nada más a qué jugar y... como me equivoqué, el ajedrez del windows 7 era sin lugar a dudas muchísimo mejor juego que esta escoria.

call of duty murió, pero en 2019, lo único que el afán de la commpañía que lo lleva, es arruinarlo año tras año todavía más y más, hasta el punto en el que cualquier otra cosa, es muchísimo mejor que dedicarle ni si quiera 1 minuto a esta cosa que tienen el valor de llamarlo videojuego.

estafadores y mentirosos, deberíais cerrar los servidores y devolver a la gente el dinero de esta porquería, incompetentes.",NEG,0.9991852641105652,False
False,"antes el 6 iba de puta madre pero han metido una mierda de seguridad y no se puede jugar ni este ni el anterior, quiero mi reembolso (:",NEG,0.9992802739143372,False
False,"no hay ninguna manera de poder justificar un gasto de 70 dólares en esto. para nada. incluso si está de oferta, lo dudaría mucho, a menos que se justifique el gasto solo por el modo zombie. porque con lo que este juego ofrece no lo vale. aun usando la tarjeta de papi es una muy mala forma de gastar el dinero. en el mercado actual, dentro del género shooter, existen otras propuestas con experiencias de calidad, coherentes e innovadoras que superan esto en todos los sentidos. si quieres guerra inmersiva pura y dura battlefield 6 hoy es líder; si quieres algo multijugador innovador tienes arc raider, pero si quieres un modo zombie, okey, vamos a poner ahí a black ops 7 y será solo eso en lo que podría decirte que tiene chances de ganar.  por lo demás, completamente olvidable.",NEU,0.5913109183311462,False
False,"do not buy this. the sbmm is absolutely terrible, by far the worst i’ve ever experienced , and i seriously regret wasting my money on it.",NEG,0.9985393285751343,False
